YAR027W YJR013W
YAR027W YJR044C
YAR027W YLR350W
YAR027W YML055W
YAR027W YMR071C
YAR027W YNL219C
YAR027W YNL263C
YAR027W YNL315C
YAR027W YOL129W
YAR027W YPL020C
YAR027W YPR113W
YAR027W YPR159C-A
YAR028W YJL097W
YDR411C YDR479C
YDR411C YML029W
YDR411C YBR273C
YDR411C YJL019W
YEL042W YDR479C
YEL042W YPL094C
YER087C-B YDR479C
YER087C-B YLR404W
YGL104C YDR479C
YGL225W YPL094C
YGL225W YPR071W
YGR284C YDR479C
YJL097W YDR479C
YJL097W YPL094C
YJL097W YML029W
YJL097W YPR071W
YJL117W YDR479C
YJR013W YPL094C
YJR044C YOL129W
YLR350W YDR479C
YLR350W YER019W
YML055W YDR479C
YML055W YPL094C
YMR071C YDR479C
YMR071C YDL120W
YMR071C YER101C
YMR071C YGR177C
YMR071C YJL104W
YMR071C YML110C
YMR071C YNL315C
YMR071C YPL020C
YNL219C YPL094C
YNL219C YML029W
YNL263C YDR479C
YNL263C YGR177C
YNL263C YML110C
YNL263C YPR028W
YNL315C YER118C
YNL315C YGL053W
YPL020C YDR479C
YPL020C YCR007C
YPL020C YGL053W
YPL020C YOL107W
YPR113W YAR033W
YPR113W YDR479C
YPR113W YML029W
YPR113W YMR079W
YPR113W YLR072W
YPR113W YJL019W
YPR159C-A YDR479C
YPR159C-A YPL094C
YDR479C YBL020W
YDR479C YBL091C-A
YDR479C YBR241C
YDR479C YCR021C
YDR479C YDR284C
YDR479C YDR476C
YDR479C YGL053W
YDR479C YGL065C
YDR479C YGR149W
YDR479C YHL031C
YDR479C YJL134W
YDR479C YJL183W
YDR479C YLL014W
YDR479C YLR036C
YDR479C YLR268W
YDR479C YML125C
YDR479C YMR024W
YDR479C YNR075W
YDR479C YOL003C
YDR479C YOL065C
YDR479C YOR377W
YDL120W YCR007C
YDL164C YGL053W
YDL164C YCR007C
YPL094C YBL091C-A
YPL094C YDR284C
YPL094C YHL031C
YPL094C YJL183W
YPL094C YLR268W
YPL094C YOL003C
YPL094C YHR123W
YPL094C YHR211W
YPL094C YJR075W
YPL094C YJR118C
YPL094C YBR162W-A
YPL094C YCL021W-A
YPL094C YDL212W
YPL094C YGR130C
YPL094C YHL003C
YPL094C YKL063C
YPL094C YMR298W
YPL094C YPR037C
YML029W YBL091C-A
YML029W YGL053W
YML029W YJL134W
YML029W YLL014W
YML029W YGR038W
