YHR120W YER165W
YIL154C YGR237C
YIL154C YER133W
YIL154C YDR475C
YJL034W YBR118W
YJL034W YLR066W
YJL034W YOR147W
YJL073W YHR203C
YJL093C YAL038W
YJL178C YAL038W
YJL178C YHR174W
YJL178C YBR118W
YJL178C YMR186W
YJL178C YGR214W
YJL212C YBR118W
YJL212C YBR031W
YJR059W YHR174W
YKR105C YBR118W
YKR105C YER165W
YLL012W YAL038W
YLL012W YHR174W
YLL012W YBR118W
YLL012W YNL064C
YLR093C YAL038W
YLR093C YLR044C
YLR093C YBR127C
YLR093C YBR118W
YLR093C YER165W
YLR093C YCL037C
YLR093C YJR009C
YLR139C YBR031W
YLR139C YER165W
YLR139C YMR229C
YLR139C YMR290C
YLR139C YDR012W
YLR139C YDL044C
YLR350W YAL038W
YLR350W YHR174W
YLR350W YBR127C
YLR350W YBR118W
YLR350W YHR064C
YLR350W YDL160C
YLR393W YLR249W
YML002W YAL038W
YML002W YDR064W
YML013W YDL126C
YML013W YBR031W
YML013W YDR447C
YML013W YER165W
YMR149W YAL038W
YMR149W YBR118W
YMR149W YBR031W
YMR149W YER165W
YMR149W YEL002C
YMR238W YAL038W
YMR264W YBR031W
YNL087W YAL038W
YNL087W YDR166C
YNL087W YBR118W
YNL087W YER008C
YNL087W YBR102C
YNL087W YER165W
YOR086C YDL055C
YPL019C YAL038W
YPL019C YHR174W
YPL019C YLR044C
YPL132W YAL038W
YPL132W YHR174W
YPR010C YBR181C
YPR010C YNL248C
YPR010C YPR110C
YPR010C YOR341W
YPR010C YBR154C
YPR010C YOR340C
YPR113W YDL185W
YML067C YER004W
YML067C YAL042W
YML067C YAL038W
YML067C YBR181C
YML067C YHR174W
YCR043C YAL038W
YCR044C YAL038W
YCR044C YDR502C
YDL072C YFR031C-A
YDL126C YBR170C
YDL126C YGR048W
YDL126C YMR067C
YDL126C YBL058W
YDL212W YBR181C
YDL212W YGL076C
YDL212W YFR031C-A
YDL212W YKR048C
YDL212W YOR096W
YDL212W YBR031W
YDL212W YHL033C
YDL212W YDL082W
YDL212W YNL096C
YDL212W YDR447C
YDL212W YPR139C
YDR011W YBR118W
YDR027C YGL076C
YDR027C YDR484W
YDR027C YJL029C
YDR166C YHR174W
YDR166C YER008C
YDR166C YHR020W
YDR166C YBR102C
YDR233C YAL038W
YDR233C YHR174W
YDR233C YPL154C
YDR245W YNL064C
YDR245W YDL148C
YDR245W YOL086C
YDR245W YPL050C
YDR284C YAL038W
YDR284C YHR174W
YDR284C YMR186W
YDR284C YPL240C
YDR284C YGL245W
YDR342C YNL064C
YDR342C YBR031W
YDR342C YDR447C
YDR352W YAL038W
YDR407C YOR115C
